collection_id,loan_id,application_no,reason,reason desc
2494,2706,HEV-UPW-5,combine_close_type_blocked,Loan skipped because COMBINE CLOSE_TYPE is Recovered/Closed/Return.
2495,2706,HEV-UPW-5,combine_close_type_blocked,Loan skipped because COMBINE CLOSE_TYPE is Recovered/Closed/Return.
2496,2706,HEV-UPW-5,combine_close_type_blocked,Loan skipped because COMBINE CLOSE_TYPE is Recovered/Closed/Return.
2506,1394,HEV-UPW-6,amount_mismatch_exact_required,Exact match mode enabled; COMBINE Total Amount != due_amount.
2507,1394,HEV-UPW-6,amount_mismatch_exact_required,Exact match mode enabled; COMBINE Total Amount != due_amount.
2604,1643,HEV-UPW-13,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
2664,1677,HEV-UPW-17,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
2688,1715,HEV-UPW-19,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
2700,1729,HEV-UPW-20,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
3071,2266,HEV-UPW-46,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
3931,3308,HEV-UPW-105,amount_mismatch_exact_required,Exact match mode enabled; COMBINE Total Amount != due_amount.
3932,3308,HEV-UPW-105,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
4079,3372,HEV-UPW-115,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
4109,3374,HEV-UPW-118,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
4169,3364,HEV-UPW-122,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
4199,3438,HEV-UPW-124,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
4217,3008,HEV-UPW-125,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
4514,2516,HEV-RJ-1,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
4634,2521,HEV-RJ-8,combine_close_type_blocked,Loan skipped because COMBINE CLOSE_TYPE is Recovered/Closed/Return.
4635,2521,HEV-RJ-8,combine_close_type_blocked,Loan skipped because COMBINE CLOSE_TYPE is Recovered/Closed/Return.
4636,2521,HEV-RJ-8,combine_close_type_blocked,Loan skipped because COMBINE CLOSE_TYPE is Recovered/Closed/Return.
4671,2523,HEV-RJ-10,combine_close_type_blocked,Loan skipped because COMBINE CLOSE_TYPE is Recovered/Closed/Return.
4672,2523,HEV-RJ-10,combine_close_type_blocked,Loan skipped because COMBINE CLOSE_TYPE is Recovered/Closed/Return.
5143,2552,HEV-RJ-44,combine_close_type_blocked,Loan skipped because COMBINE CLOSE_TYPE is Recovered/Closed/Return.
5144,2552,HEV-RJ-44,combine_close_type_blocked,Loan skipped because COMBINE CLOSE_TYPE is Recovered/Closed/Return.
5145,2552,HEV-RJ-44,combine_close_type_blocked,Loan skipped because COMBINE CLOSE_TYPE is Recovered/Closed/Return.
5187,2556,HEV-RJ-48,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
5205,2557,HEV-RJ-49,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
5313,2560,HEV-RJ-55,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
5331,2561,HEV-RJ-56,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
5439,36,HEV-RJ-65,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
5440,36,HEV-RJ-65,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
5441,36,HEV-RJ-65,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
5668,163,HEV-RJ-84,amount_mismatch_exact_required,Exact match mode enabled; COMBINE Total Amount != due_amount.
5669,163,HEV-RJ-84,amount_mismatch_exact_required,Exact match mode enabled; COMBINE Total Amount != due_amount.
5670,163,HEV-RJ-84,amount_mismatch_exact_required,Exact match mode enabled; COMBINE Total Amount != due_amount.
5688,2577,HEV-RJ-85,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
5775,2581,HEV-RJ-95,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
5793,174,HEV-RJ-96,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
5811,2582,HEV-RJ-97,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
5900,424,HEV-RJ-106,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
5912,247,HEV-RJ-107,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
6001,423,HEV-RJ-114,amount_mismatch_exact_required,Exact match mode enabled; COMBINE Total Amount != due_amount.
6322,519,HEV-RJ-135,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
6577,505,HEV-RJ-155,amount_mismatch_exact_required,Exact match mode enabled; COMBINE Total Amount != due_amount.
6866,678,HEV-RJ-177,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
6867,678,HEV-RJ-177,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
6868,678,HEV-RJ-177,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
7096,783,HEV-RJ-194,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
7108,812,HEV-RJ-196,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
7692,1209,HEV-RJ-247,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
7716,1212,HEV-RJ-249,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
7743,1223,HEV-RJ-251,combine_close_type_blocked,Loan skipped because COMBINE CLOSE_TYPE is Recovered/Closed/Return.
7744,1223,HEV-RJ-251,combine_close_type_blocked,Loan skipped because COMBINE CLOSE_TYPE is Recovered/Closed/Return.
7745,1223,HEV-RJ-251,combine_close_type_blocked,Loan skipped because COMBINE CLOSE_TYPE is Recovered/Closed/Return.
7746,1223,HEV-RJ-251,combine_close_type_blocked,Loan skipped because COMBINE CLOSE_TYPE is Recovered/Closed/Return.
7776,1238,HEV-RJ-254,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
7794,1267,HEV-RJ-255,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
7806,1258,HEV-RJ-256,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
8353,1663,HEV-RJ-299,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
8379,1694,HEV-RJ-302,amount_mismatch_exact_required,Exact match mode enabled; COMBINE Total Amount != due_amount.
8380,1694,HEV-RJ-302,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
8638,1889,HEV-RJ-322,combine_close_type_blocked,Loan skipped because COMBINE CLOSE_TYPE is Recovered/Closed/Return.
8950,2752,HEV-RJ-360,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
8951,2752,HEV-RJ-360,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
8990,2749,HEV-RJ-363,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
9002,2782,HEV-RJ-364,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
9207,2298,HEV-000001,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
9494,2314,HEV-000023,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
9829,2335,HEV-000054,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
9864,2337,HEV-000058,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
9931,2343,HEV-000066,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
10088,2352,HEV-000077,amount_mismatch_exact_required,Exact match mode enabled; COMBINE Total Amount != due_amount.
10089,2352,HEV-000077,amount_mismatch_exact_required,Exact match mode enabled; COMBINE Total Amount != due_amount.
10219,2358,HEV-000085,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
10257,2360,HEV-000087,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
10404,2368,HEV-000096,combine_close_type_blocked,Loan skipped because COMBINE CLOSE_TYPE is Recovered/Closed/Return.
10405,2368,HEV-000096,combine_close_type_blocked,Loan skipped because COMBINE CLOSE_TYPE is Recovered/Closed/Return.
10406,2368,HEV-000096,combine_close_type_blocked,Loan skipped because COMBINE CLOSE_TYPE is Recovered/Closed/Return.
10407,2368,HEV-000096,combine_close_type_blocked,Loan skipped because COMBINE CLOSE_TYPE is Recovered/Closed/Return.
10641,2382,HEV-000115,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
10683,2384,HEV-000118,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
10821,2390,HEV-000129,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
10822,2390,HEV-000129,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
11187,2411,HEV-000153,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
11188,2411,HEV-000153,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
11800,2444,HEV-000191,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
12342,12,HEV-000229,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
12403,2716,HEV-000235,amount_mismatch_exact_required,Exact match mode enabled; COMBINE Total Amount != due_amount.
12465,2471,HEV-000240,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
12498,26,HEV-000243,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
12587,134,HEV-000250,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
12665,2482,HEV-000256,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
13258,141,HEV-000301,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
13348,2498,HEV-000307,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
13588,339,HEV-000321,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
13606,492,HEV-000322,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
13618,457,HEV-000323,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
14008,342,HEV-000351,combine_close_type_blocked,Loan skipped because COMBINE CLOSE_TYPE is Recovered/Closed/Return.
14009,342,HEV-000351,combine_close_type_blocked,Loan skipped because COMBINE CLOSE_TYPE is Recovered/Closed/Return.
14010,342,HEV-000351,combine_close_type_blocked,Loan skipped because COMBINE CLOSE_TYPE is Recovered/Closed/Return.
14322,409,HEV-000373,amount_mismatch_exact_required,Exact match mode enabled; COMBINE Total Amount != due_amount.
14396,493,HEV-000378,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
14426,532,HEV-000380,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
14480,72,HEV-000383,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
14504,484,HEV-000385,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
14640,544,HEV-000394,combine_close_type_blocked,Loan skipped because COMBINE CLOSE_TYPE is Recovered/Closed/Return.
14641,544,HEV-000394,combine_close_type_blocked,Loan skipped because COMBINE CLOSE_TYPE is Recovered/Closed/Return.
15389,719,HEV-000447,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
15437,717,HEV-000451,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
15467,734,HEV-000453,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
15521,761,HEV-000457,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
15533,764,HEV-000458,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
15587,779,HEV-000461,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
15743,835,HEV-000472,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
15761,838,HEV-000473,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
15797,844,HEV-000475,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
15815,2511,HEV-000476,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
15863,843,HEV-000480,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
16106,915,HEV-000498,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
16107,915,HEV-000498,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
16108,915,HEV-000498,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
16109,915,HEV-000498,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
16175,941,HEV-000502,amount_mismatch_exact_required,Exact match mode enabled; COMBINE Total Amount != due_amount.
16420,1028,HEV-000518,combine_close_type_blocked,Loan skipped because COMBINE CLOSE_TYPE is Recovered/Closed/Return.
16421,1028,HEV-000518,combine_close_type_blocked,Loan skipped because COMBINE CLOSE_TYPE is Recovered/Closed/Return.
16526,1058,HEV-000528,amount_mismatch_exact_required,Exact match mode enabled; COMBINE Total Amount != due_amount.
16694,1139,HEV-000543,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
16824,1182,HEV-000553,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
16890,1216,HEV-000557,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
16905,1218,HEV-000558,combine_close_type_blocked,Loan skipped because COMBINE CLOSE_TYPE is Recovered/Closed/Return.
16906,1218,HEV-000558,combine_close_type_blocked,Loan skipped because COMBINE CLOSE_TYPE is Recovered/Closed/Return.
16907,1218,HEV-000558,combine_close_type_blocked,Loan skipped because COMBINE CLOSE_TYPE is Recovered/Closed/Return.
16908,1218,HEV-000558,combine_close_type_blocked,Loan skipped because COMBINE CLOSE_TYPE is Recovered/Closed/Return.
16974,1224,HEV-000564,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
17037,1235,HEV-000568,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
17145,1255,HEV-000575,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
17157,1264,HEV-000576,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
17162,1208,HEV-000577,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
17163,1208,HEV-000577,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
17175,1257,HEV-000578,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
17365,1322,HEV-000595,amount_mismatch_exact_required,Exact match mode enabled; COMBINE Total Amount != due_amount.
17518,961,HEV-000607,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
18070,1484,HEV-000647,combine_close_type_blocked,Loan skipped because COMBINE CLOSE_TYPE is Recovered/Closed/Return.
18071,1484,HEV-000647,combine_close_type_blocked,Loan skipped because COMBINE CLOSE_TYPE is Recovered/Closed/Return.
18128,1489,HEV-000653,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
18192,2514,HEV-000660,combine_close_type_blocked,Loan skipped because COMBINE CLOSE_TYPE is Recovered/Closed/Return.
18193,2514,HEV-000660,combine_close_type_blocked,Loan skipped because COMBINE CLOSE_TYPE is Recovered/Closed/Return.
18194,2514,HEV-000660,combine_close_type_blocked,Loan skipped because COMBINE CLOSE_TYPE is Recovered/Closed/Return.
18599,1641,HEV-000690,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
18685,1659,HEV-000695,combine_close_type_blocked,Loan skipped because COMBINE CLOSE_TYPE is Recovered/Closed/Return.
18686,1659,HEV-000695,combine_close_type_blocked,Loan skipped because COMBINE CLOSE_TYPE is Recovered/Closed/Return.
18726,1668,HEV-000700,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
18840,1702,HEV-000707,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
18876,1724,HEV-000710,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
18900,1681,HEV-000712,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
18912,1730,HEV-000713,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
18924,1728,HEV-000714,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
19252,1863,HEV-000741,amount_mismatch_exact_required,Exact match mode enabled; COMBINE Total Amount != due_amount.
19666,2014,HEV-000775,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
20096,2748,HEV-000810,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
20656,3088,HEV-000854,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
21042,2177,HEV-000883,amount_mismatch_exact_required,Exact match mode enabled; COMBINE Total Amount != due_amount.
21088,2204,HEV-000886,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
21589,3210,HEV-000923,amount_mismatch_exact_required,Exact match mode enabled; COMBINE Total Amount != due_amount.
21721,3257,HEV-000932,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
21877,3318,HEV-000945,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
21937,3360,HEV-000950,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
21979,3354,HEV-000955,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
22123,3404,HEV-000965,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
22141,3416,HEV-000966,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
22241,3450,HEV-000975,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
22283,3455,HEV-000978,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
22510,3596,HEV-Litfin-20,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
22936,2618,HEV-UP-22,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
22972,2621,HEV-UP-25,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
23280,2644,HEV-UP-52,combine_close_type_blocked,Loan skipped because COMBINE CLOSE_TYPE is Recovered/Closed/Return.
23281,2644,HEV-UP-52,combine_close_type_blocked,Loan skipped because COMBINE CLOSE_TYPE is Recovered/Closed/Return.
23282,2644,HEV-UP-52,combine_close_type_blocked,Loan skipped because COMBINE CLOSE_TYPE is Recovered/Closed/Return.
23283,2644,HEV-UP-52,combine_close_type_blocked,Loan skipped because COMBINE CLOSE_TYPE is Recovered/Closed/Return.
23385,2649,HEV-UP-59,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
23457,2655,HEV-UP-66,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
